,city,weekly_date,precipitation_weekly_mm,quarter
0,london,2022-01-02,2.2,2022Q1
1,london,2022-01-09,12.9,2022Q1
2,london,2022-01-16,3.1,2022Q1
3,london,2022-01-23,0.0,2022Q1
4,london,2022-01-30,0.1,2022Q1
5,london,2022-02-06,9.1,2022Q1
6,london,2022-02-13,14.3,2022Q1
7,london,2022-02-20,27.6,2022Q1
8,london,2022-02-27,4.500000000000001,2022Q1
9,london,2022-03-06,26.1,2022Q1
10,london,2022-03-13,6.6000000000000005,2022Q1
11,london,2022-03-20,12.0,2022Q1
12,london,2022-03-27,0.1,2022Q1
13,london,2022-04-03,7.7,2022Q2
14,london,2022-04-10,12.9,2022Q2
15,london,2022-04-17,5.4,2022Q2
16,london,2022-04-24,0.2,2022Q2
17,london,2022-05-01,2.1,2022Q2
18,london,2022-05-08,7.2,2022Q2
19,london,2022-05-15,29.6,2022Q2
20,london,2022-05-22,37.8,2022Q2
21,london,2022-05-29,7.2,2022Q2
22,london,2022-06-05,12.8,2022Q2
23,london,2022-06-12,34.0,2022Q2
24,london,2022-06-19,11.4,2022Q2
25,london,2022-06-26,4.3,2022Q2
26,london,2022-07-03,6.5,2022Q3
27,london,2022-07-10,0.0,2022Q3
28,london,2022-07-17,0.39999999999999997,2022Q3
29,london,2022-07-24,9.9,2022Q3
30,london,2022-07-31,2.5,2022Q3
31,london,2022-08-07,0.2,2022Q3
32,london,2022-08-14,0.0,2022Q3
33,london,2022-08-21,6.9,2022Q3
34,london,2022-08-28,21.2,2022Q3
35,london,2022-09-04,3.8000000000000003,2022Q3
36,london,2022-09-11,24.5,2022Q3
37,london,2022-09-18,9.8,2022Q3
38,london,2022-09-25,3.1,2022Q3
39,london,2022-10-02,10.2,2022Q4
40,london,2022-10-09,1.7,2022Q4
41,london,2022-10-16,22.4,2022Q4
42,london,2022-10-23,34.3,2022Q4
43,london,2022-10-30,10.9,2022Q4
44,london,2022-11-06,67.8,2022Q4
45,london,2022-11-13,6.1000000000000005,2022Q4
46,london,2022-11-20,44.1,2022Q4
47,london,2022-11-27,28.400000000000002,2022Q4
48,london,2022-12-04,3.5,2022Q4
49,london,2022-12-11,0.7,2022Q4
50,london,2022-12-18,10.1,2022Q4
51,london,2022-12-25,18.0,2022Q4
52,london,2023-01-01,24.6,2023Q1
53,seattle,2022-01-02,31.3,2022Q1
54,seattle,2022-01-09,108.8,2022Q1
55,seattle,2022-01-16,45.5,2022Q1
56,seattle,2022-01-23,15.7,2022Q1
57,seattle,2022-01-30,6.1,2022Q1
58,seattle,2022-02-06,5.6000000000000005,2022Q1
59,seattle,2022-02-13,1.2,2022Q1
60,seattle,2022-02-20,11.9,2022Q1
61,seattle,2022-02-27,32.4,2022Q1
62,seattle,2022-03-06,70.0,2022Q1
63,seattle,2022-03-13,7.9,2022Q1
64,seattle,2022-03-20,37.8,2022Q1
65,seattle,2022-03-27,24.5,2022Q1
66,seattle,2022-04-03,13.9,2022Q2
67,seattle,2022-04-10,29.0,2022Q2
68,seattle,2022-04-17,10.8,2022Q2
69,seattle,2022-04-24,21.6,2022Q2
70,seattle,2022-05-01,19.3,2022Q2
71,seattle,2022-05-08,36.5,2022Q2
72,seattle,2022-05-15,37.5,2022Q2
73,seattle,2022-05-22,8.6,2022Q2
74,seattle,2022-05-29,28.5,2022Q2
75,seattle,2022-06-05,40.8,2022Q2
76,seattle,2022-06-12,34.2,2022Q2
77,seattle,2022-06-19,9.0,2022Q2
78,seattle,2022-06-26,2.1,2022Q2
79,seattle,2022-07-03,6.5,2022Q3
80,seattle,2022-07-10,1.5,2022Q3
81,seattle,2022-07-17,0.8,2022Q3
82,seattle,2022-07-24,0.2,2022Q3
83,seattle,2022-07-31,0.0,2022Q3
84,seattle,2022-08-07,0.6000000000000001,2022Q3
85,seattle,2022-08-14,9.5,2022Q3
86,seattle,2022-08-21,0.4,2022Q3
87,seattle,2022-08-28,4.5,2022Q3
88,seattle,2022-09-04,1.3,2022Q3
89,seattle,2022-09-11,0.2,2022Q3
90,seattle,2022-09-18,3.9000000000000004,2022Q3
91,seattle,2022-09-25,0.8,2022Q3
92,seattle,2022-10-02,4.3,2022Q4
93,seattle,2022-10-09,0.0,2022Q4
94,seattle,2022-10-16,0.0,2022Q4
95,seattle,2022-10-23,20.1,2022Q4
96,seattle,2022-10-30,47.3,2022Q4
97,seattle,2022-11-06,68.6,2022Q4
98,seattle,2022-11-13,9.6,2022Q4
99,seattle,2022-11-20,0.0,2022Q4
100,seattle,2022-11-27,39.7,2022Q4
101,seattle,2022-12-04,43.7,2022Q4
102,seattle,2022-12-11,35.2,2022Q4
103,seattle,2022-12-18,3.7,2022Q4
104,seattle,2022-12-25,63.5,2022Q4
105,seattle,2023-01-01,74.8,2023Q1
